,lower_95,upper_95
const,8824.370887532657,9230.676347417817
age,3242.9555425950543,3986.9952870609445
bmi,1651.357382344608,2421.098863448829
children,148.05489548871174,885.7255989095831
sex_female,4134.24007789955,4911.87523121669
sex_male,4127.803161670078,4881.128764164124
smoker_no,-7717.624514070902,-6905.980724215131
smoker_yes,15815.01555835174,16863.63691488471
region_northeast,2069.7072408702506,3363.2250563548187
region_northwest,1689.9554721090553,3001.6221726604153
region_southeast,1412.0666887557722,2705.13701534002
region_southwest,1262.908351117405,2550.4252377427283
